"fuid","text","labels"
"34dcf446-eded-ef9c-6b75-6edca1dab9bc","' I can not register: an unexpected error occurred! ' The page that you want to call is not available at this time. Try it later again. Error correlation ID: 16b87891-a1dd-4c7b-b894-1f88f4822c09 error correlation vector: B1ViUNtfA0Wgtf3y. 1 app server: account time: 06 Dec 2015 15:42:42","Learn, Try or Buy--Conversion or Registration"
"3048e404-c676-56d2-8c98-7d401e68ea14","'Written Off' Credit Cards and their inability to be renewed for payments. . Having taken a break from Xbox in order to focus on real life events I'd forgotten to cancel my subscription and since taken the money out of the account I used for online purchases.   Sometime later I return to try and play Xbox using the same card and account I previously used and find it wouldn't work. Upon talking to support I'd learned that since the subscription wasn't cancelled and payments weren't going through, the system automatically cancelled my subscription for me but 'wrote off' that account and no longer allowed me to make purchases with that card.   Now this was my mistake having not cancelled my subscription, but I then also learned I couldn't use that Card EVER again. I personally only have the one card so I don't have to manage many, which now puts me in a rather inconvenient position as I now have to buy physical codes which come at retailer price instead of directly from Microsoft.   I can understand why this system is in place, but not having the ability to remove the blocks on cards in the event someone made a mistake and leave them to be effectively banned from using that card again forever seems...counter productive. I honestly don't want to go out and buy physical codes every time I want money in my Microsoft account or subscription.   TL;DR - The inability to have blocks removed from credit cards leaving them banned FOREVER should be remedied so that people who make mistakes or want to use their card again ever - can do so. Or Remove the whole banning system to begin with and add in a Auto opt-out if someone doesn't pay for sub for x amount of months.   Further - I didn't get any notifications about this either while I was absent from Xbox Live. Nothing to warn me this type of action would be taken against my account. Lovely surprise. Especially since I was told to contact my bank and everything before finally finding the cause on their own end.","None--Other None"
"8d9a9633-de51-3ab5-c294-973e0f096349","   The ""Choose a payment method"" why i can not have the PayPal option?  Thank You","Business Operations--Sales or Monetization"
"7cdcba1a-a4d3-a07a-0a35-aa41fc201369","  It is not showing my published app on my dashboard. Here's the link to my app  https://www.microsoft.com/en-us/store/apps/filler/9nblggh0jl84  This app was migrated from yallaapps. Hope you can help me out in this regard.  Thanks !","Business Operations--Marketing or Advertising"
"4f995755-2b26-6907-53aa-1c0e6bb86035","  My test app status in store but i cant see in the store?","Business Operations--Marketing or Advertising"
"0463a722-f6d8-3c6a-c925-6c44b5b757ea"," 360 ron payment by visa card. Error below","Learn, Try or Buy--Conversion or Registration|Business Operations--Sales or Monetization"
"bbb2a1b3-6d31-ad73-24bc-f2a22ae8cb47"," an error has occurred. Please try again later.","Business Operations--Business Operations UI or UX"
"c24bcb74-ee79-9c05-a115-ada7ac399b51"," an internal team has recommended to cease developing for windows mobile platforms which relates to the online predictions that the Windows Mobile platform might never become a main stream platform competing with the likes of Android and iOS platforms. Suggest you to look into the processes and change it to help the developers / businesses rather than making and forcing the rules set forth which will definitely affect the platform growth on the longer run. This is just my personal opinion and not related to my employer in anyway. The above comments are purely based on personal experience and the hardships which I have been having with the application publishing on Windows App store when compared with other mobile platforms like Android","Learn, Try or Buy--Evaluation or Comparison"
"061e5350-13f9-a2e8-b0d9-0d58e905f936"," at the pricing and availability table","Business Operations--Cost Management"
"2919ec75-123f-9202-6049-c091541e1022"," because I am building a App for Windows Phone. May I to pay in cash? How? I have not card.","Business Operations--Sales or Monetization"
